Sector,Region,Year,GVA,Employment,Number of business sites
All DCMS Sectors,East,2010,9.66007239875463,,
All DCMS Sectors,East,2011,9.947210011938955,,
All DCMS Sectors,East,2012,10.42860944811511,,
All DCMS Sectors,East,2013,10.63849778409938,,
All DCMS Sectors,East,2014,11.13137225964873,,59.064
All DCMS Sectors,East,2015,11.385262670612589,,61.74
All DCMS Sectors,East,2016,11.668533644318643,,
All DCMS Sectors,East,2017,,322.0,
All DCMS Sectors,East Midlands,2010,4.952224725427765,,
All DCMS Sectors,East Midlands,2011,5.105525175082035,,
All DCMS Sectors,East Midlands,2012,5.366345480301283,,
All DCMS Sectors,East Midlands,2013,5.312567874680504,,
All DCMS Sectors,East Midlands,2014,5.4738456564548645,,34.063
All DCMS Sectors,East Midlands,2015,5.596411273367057,,35.323
All DCMS Sectors,East Midlands,2016,5.785773596179137,,
All DCMS Sectors,East Midlands,2017,,212.0,
All DCMS Sectors,London,2010,43.951381264534206,,
All DCMS Sectors,London,2011,47.43359391240219,,
All DCMS Sectors,London,2012,49.02367409963836,,
All DCMS Sectors,London,2013,53.41757721189472,,
All DCMS Sectors,London,2014,57.068017008531854,,148.329
All DCMS Sectors,London,2015,59.73952236628823,,158.951
All DCMS Sectors,London,2016,64.34763313950057,,
All DCMS Sectors,London,2017,,985.0,
All DCMS Sectors,North East,2010,2.7946728051074534,,
All DCMS Sectors,North East,2011,3.2476488640274273,,
All DCMS Sectors,North East,2012,3.2106074592648,,
All DCMS Sectors,North East,2013,3.153808219498998,,
All DCMS Sectors,North East,2014,3.4930996502844067,,15.404
All DCMS Sectors,North East,2015,3.9972602641033075,,16.041
All DCMS Sectors,North East,2016,3.7744432475777874,,
All DCMS Sectors,North East,2017,,105.0,
All DCMS Sectors,North West,2010,9.90182767667143,,
All DCMS Sectors,North West,2011,10.67802198572434,,
All DCMS Sectors,North West,2012,10.990322070468647,,
All DCMS Sectors,North West,2013,11.206365874604213,,
All DCMS Sectors,North West,2014,11.393963682105822,,54.734
All DCMS Sectors,North West,2015,12.192061704959613,,57.093
All DCMS Sectors,North West,2016,12.298939198610261,,
All DCMS Sectors,North West,2017,,350.0,
All DCMS Sectors,Northern Ireland,2010,1.8302174377939386,,
All DCMS Sectors,Northern Ireland,2011,1.991795302124119,,
All DCMS Sectors,Northern Ireland,2012,2.0808071815031517,,
All DCMS Sectors,Northern Ireland,2013,2.0591795306261047,,
All DCMS Sectors,Northern Ireland,2014,1.9831721002104643,,11.263
All DCMS Sectors,Northern Ireland,2015,1.9671787228297228,,11.596
All DCMS Sectors,Northern Ireland,2016,2.099082975177872,,
All DCMS Sectors,Northern Ireland,2017,,60.0,
All DCMS Sectors,Scotland,2010,7.414726207226606,,
All DCMS Sectors,Scotland,2011,7.430848561665373,,
All DCMS Sectors,Scotland,2012,7.770612510390982,,
All DCMS Sectors,Scotland,2013,8.168831699210688,,
All DCMS Sectors,Scotland,2014,8.014488869357946,,42.117
All DCMS Sectors,Scotland,2015,8.348645862245071,,43.565
All DCMS Sectors,Scotland,2016,8.57752679398262,,
All DCMS Sectors,Scotland,2017,,303.0,
All DCMS Sectors,South East,2010,25.80566455618632,,
All DCMS Sectors,South East,2011,28.100762023391304,,
All DCMS Sectors,South East,2012,29.362233970729992,,
All DCMS Sectors,South East,2013,30.16057663491262,,
All DCMS Sectors,South East,2014,29.197372947378724,,104.336
All DCMS Sectors,South East,2015,30.940355080148674,,109.038
All DCMS Sectors,South East,2016,32.28464321031698,,
All DCMS Sectors,South East,2017,,604.0,
All DCMS Sectors,South West,2010,6.977267215041056,,
All DCMS Sectors,South West,2011,6.9086664010738215,,
All DCMS Sectors,South West,2012,7.160775739427769,,
All DCMS Sectors,South West,2013,7.208958900184762,,
All DCMS Sectors,South West,2014,8.289105136181407,,54.358
All DCMS Sectors,South West,2015,7.992327125092441,,56.015
All DCMS Sectors,South West,2016,8.253650187355293,,
All DCMS Sectors,South West,2017,,347.0,
All DCMS Sectors,Wales,2010,2.5568204622852746,,
All DCMS Sectors,Wales,2011,2.8040140665823485,,
All DCMS Sectors,Wales,2012,2.9485828976913417,,
All DCMS Sectors,Wales,2013,2.8387039596415446,,
All DCMS Sectors,Wales,2014,2.9095049211802753,,21.517
All DCMS Sectors,Wales,2015,3.133740546074546,,22.147
